Bez;Gemnr;Gemeinde;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;;;;;
KB;70401; Aurach bei Kitzbühel  ;42.921;42.995;40.777;40.573;43.432;47.640;47.938;42.449;45.117;38.885;43.487;39.133;40.790;38.719;40.435;43.331;41.117;41.745;38.050;37.998;30.426;1.076;25.576;28.580;;;;;
KB;70402; Brixen im Thale       ;167.832;166.325;168.873;158.296;160.958;176.409;178.136;143.413;162.261;178.274;179.047;172.986;182.731;189.658;181.913;176.840;192.980;185.339;209.205;208.233;193.901;1.805;171.666;185.017;;;;;
KB;70403; Fieberbrunn           ;252.434;241.383;269.334;236.640;244.300;260.535;244.788;218.059;237.184;233.909;245.313;242.442;245.826;257.861;237.662;238.439;282.199;257.418;290.861;297.040;278.962;9.651;243.096;275.805;;;;;
KB;70404; Going/Wilden Kaiser   ;154.626;157.230;166.818;173.549;177.692;189.217;183.104;166.254;177.572;172.443;175.095;171.432;176.310;170.035;170.021;176.410;185.448;178.595;182.521;179.863;156.926;1.491;153.528;175.917;;;;;
KB;70405; Hochfilzen            ;32.974;31.015;33.800;31.710;32.041;35.639;33.397;31.182;32.263;28.928;29.395;29.374;29.874;30.522;31.778;33.751;39.092;37.314;42.536;42.040;39.339;6.831;32.265;38.724;;;;;
KB;70406; Hopfgarten/Brixental  ;167.046;172.868;180.682;180.829;185.251;209.265;202.072;171.875;190.404;202.314;182.556;191.068;195.339;204.583;194.811;195.644;202.179;192.954;216.393;225.159;206.483;5.740;154.797;205.259;;;;;
KB;70407; Itter                 ;37.697;44.531;44.876;45.370;41.841;45.906;44.039;40.061;41.443;46.957;49.745;47.635;48.987;51.500;45.685;55.895;56.877;53.024;60.984;58.959;52.601;3.740;53.582;64.318;;;;;
KB;70408; Jochberg              ;42.798;44.284;44.545;40.105;39.874;44.872;45.805;34.454;37.040;42.635;58.337;61.878;59.565;66.731;61.364;62.086;72.008;72.598;77.062;75.251;64.019;1.909;51.565;60.481;;;;;
KB;70409; Kirchberg in Tirol    ;535.723;526.325;539.771;509.932;501.706;547.149;555.990;498.003;534.864;525.041;525.402;494.862;513.862;486.935;463.443;457.200;471.349;474.351;485.681;471.791;415.143;9.206;349.612;411.879;;;;;
KB;70410; Kirchdorf in Tirol    ;164.030;164.272;162.061;157.519;164.607;172.180;169.182;154.073;158.380;164.818;149.404;153.940;157.629;162.062;150.607;147.184;151.896;137.848;143.131;137.492;119.473;2.307;99.545;118.736;;;;;
KB;70411; Kitzbühel             ;458.151;444.046;434.932;436.247;401.409;432.923;457.464;414.699;430.876;418.455;430.833;434.375;444.799;442.469;450.761;459.931;473.942;461.029;471.006;455.354;388.222;14.224;316.742;385.772;;;;;
KB;70412; Kössen                ;238.876;244.936;250.663;270.969;260.352;262.613;253.092;227.163;231.231;229.058;208.620;206.235;203.757;202.182;194.774;193.820;198.675;202.224;213.470;222.056;190.794;1.766;174.438;202.716;;;;;
KB;70413; Oberndorf in Tirol    ;96.839;99.768;101.442;97.412;93.196;102.602;100.832;85.412;91.616;86.156;87.351;78.478;79.650;82.620;72.672;73.067;72.725;65.554;75.658;73.453;67.645;4.087;50.023;56.782;;;;;
KB;70414; Reith bei Kitzbühel   ;63.024;62.076;64.493;73.724;73.465;69.168;71.348;66.888;65.015;66.974;65.538;56.943;56.520;56.929;57.343;57.818;62.952;63.923;64.444;62.672;53.350;1.656;42.302;47.247;;;;;
KB;70415; St.Jakob in Haus      ;47.320;48.091;48.118;45.945;47.359;50.899;45.453;42.397;47.447;46.053;43.776;40.575;41.977;43.853;40.095;38.660;42.767;38.196;42.948;45.267;40.003;1.064;33.497;39.014;;;;;
KB;70416; St.Johann in Tirol    ;295.378;292.432;292.748;282.877;285.458;305.540;305.100;258.307;285.805;261.958;232.399;224.041;225.928;227.579;212.683;221.144;232.601;246.647;272.348;274.578;239.922;7.781;187.772;233.605;;;;;
